Year:year;River orthophosphate 1992-2020 (618) (secondary axis):number;River orthophosphate 2000-2020 (945) (secondary axis):number;Lake total phosphorus 1992-2020 (265):number;Lake total phosphorus 2000-2020 (341):number;Year:year,River orthophosphate 1992-2020 (618) (secondary axis):number,River orthophosphate 2000-2020 (945) (secondary axis):number,Lake total phosphorus 1992-2020 (265):number,Lake total phosphorus 2000-2020 (341):number
1992;0.122;;0.033;;1992,0.122,,0.033,
1993;0.118;;0.035;;1993,0.118,,0.035,
1994;0.101;;0.032;;1994,0.101,,0.032,
1995;0.095;;0.032;;1995,0.095,,0.032,
1996;0.106;;0.029;;1996,0.106,,0.029,
1997;0.092;;0.029;;1997,0.092,,0.029,
1998;0.084;;0.028;;1998,0.084,,0.028,
1999;0.079;;0.029;;1999,0.079,,0.029,
2000;0.077;0.083;0.028;0.029;2000,0.077,0.083,0.028,0.029
2001;0.074;0.082;0.027;0.028;2001,0.074,0.082,0.027,0.028
2002;0.077;0.086;0.03;0.032;2002,0.077,0.086,0.03,0.032
2003;0.079;0.088;0.029;0.032;2003,0.079,0.088,0.029,0.032
2004;0.075;0.079;0.027;0.029;2004,0.075,0.079,0.027,0.029
2005;0.071;0.076;0.027;0.027;2005,0.071,0.076,0.027,0.027
2006;0.082;0.084;0.025;0.028;2006,0.082,0.084,0.025,0.028
2007;0.081;0.088;0.023;0.025;2007,0.081,0.088,0.023,0.025
2008;0.07;0.079;0.025;0.027;2008,0.07,0.079,0.025,0.027
2009;0.068;0.077;0.028;0.029;2009,0.068,0.077,0.028,0.029
2010;0.062;0.069;0.025;0.027;2010,0.062,0.069,0.025,0.027
2011;0.053;0.058;0.022;0.024;2011,0.053,0.058,0.022,0.024
2012;0.055;0.065;0.023;0.024;2012,0.055,0.065,0.023,0.024
2013;0.05;0.053;0.023;0.024;2013,0.05,0.053,0.023,0.024
2014;0.05;0.055;0.023;0.024;2014,0.05,0.055,0.023,0.024
2015;0.052;0.056;0.02;0.021;2015,0.052,0.056,0.02,0.021
2016;0.056;0.057;0.02;0.021;2016,0.056,0.057,0.02,0.021
2017;0.059;0.062;0.02;0.021;2017,0.059,0.062,0.02,0.021
2018;0.058;0.061;0.021;0.022;2018,0.058,0.061,0.021,0.022
2019;0.06;0.063;0.02;0.021;2019,0.06,0.063,0.02,0.021
2020;0.066;0.069;0.021;0.022;2020,0.066,0.069,0.021,0.022
